105,141,125,50,131,161,170,104,136,114,114,233,153,100,196,179,130
3,2,1,11,0,12,9,1,3,23,31,61,6,10,28,57,46
5,0,14,2,28,64,4,5,11,2,4,24,33,0,19,11,4
8,20,11,0,3,27,8,33,5,1,9,5,20,8,1,63,13
12,7,11,17,9,10,43,5,5,2,0,36,1,20,27,36,44
13,13,0,0,1,29,5,0,1,13,4,26,32,9,35,dnb,2
7,26,0,2,0,dnb,0,4,25,20,19,12,0,0,12,dnb,3
19,21,13,5,35,dnb,24,0,0,0,0,22,6,3,10,dnb,dnb
4,16,27,4,18,dnb,14,3,21,1,11,6,4,3,35,dnb,dnb
3,0,2,1,1,dnb,0,14,0,2,22,dnb,19,7,0,dnb,dnb
0,0,0,0,5,dnb,28,0,19,22,0,dnb,18,11,0,dnb,dnb
0,7,dnb,dnb,0,dnb,25,14,1,3,0,dnb,0,2,0,dnb,dnb
