152,275,288,84,230,211,249,204,134,276,106,191,164,217,195,117,242,253,107,155,91,199,157,165,235,137,150,111,173,145,142,168,221,49,302,116,159,231,166,128,169,292,199,63,241,219,79,167,180,87,77,101,220,153,121,135,170,141,140,98,168,206,207,235,149,308,90,202,187,155,133,169,242,149,189,239,254,233,282,149,239,166,138,243,90,194,242,155,184,174,240,228,170,148,238,189,236,158,151,182,160,132,84,185,274,261,178,143,129,163,170,122,184,177,91,211,65,146,278,122,143,293
22,44,33,1,12,36,71,56,27,80,11,2,8,0,0,6,5,13,8,0,2,7,47,30,19,0,62,8,66,11,55,17,5,12,76,30,29,47,40,14,27,13,6,12,9,25,10,37,27,16,0,1,13,11,11,34,67,42,0,13,5,17,27,55,6,62,23,8,27,10,7,23,53,6,78,3,15,0,4,3,29,30,41,16,32,2,14,102,55,0,46,69,23,5,3,36,23,35,64,27,0,34,0,8,89,54,47,12,8,5,87,1,1,36,40,30,6,9,21,23,28,65
14,32,0,9,24,17,17,10,4,36,19,6,24,46,3,0,96,78,30,4,26,5,3,36,0,4,23,3,6,6,18,11,38,9,52,30,15,14,21,22,16,21,11,20,9,87,9,57,52,23,1,0,25,34,4,9,9,19,9,12,3,26,0,24,9,44,22,31,4,5,31,24,9,0,13,59,72,1,99,85,43,12,7,0,1,25,49,1,28,52,0,0,24,4,30,16,4,62,24,52,5,53,18,3,5,137,26,1,14,16,37,20,49,8,42,28,12,23,26,3,6,167
6,0,0,37,22,16,15,5,24,42,38,0,1,78,61,18,34,27,0,32,0,60,4,29,127,17,0,16,30,36,0,6,45,12,42,4,35,91,41,10,11,4,19,8,48,21,17,7,5,0,20,8,32,8,0,0,12,1,55,20,11,43,7,69,30,57,0,31,41,0,1,1,73,37,15,8,59,1,106,46,10,33,31,150,1,7,0,7,25,19,16,60,2,20,39,11,0,4,10,7,8,0,11,59,37,15,40,52,0,14,34,20,44,0,dnb,49,2,6,0,4,0,8
14,0,5,3,1,15,0,0,5,43,4,0,39,20,33,1,7,58,41,42,5,0,0,0,16,53,39,2,0,24,6,23,63,15,47,25,2,19,11,4,4,21,3,4,22,0,0,13,17,9,13,36,37,12,8,30,10,13,6,10,17,67,17,0,15,64,0,5,1,46,0,41,24,10,23,22,22,29,15,dnb,31,4,43,38,27,57,57,4,7,25,13,4,34,7,51,19,47,3,7,1,29,1,0,28,15,17,18,3,8,5,2,42,27,50,dnb,8,11,18,49,6,19,29
11,45,33,11,46,42,6,2,4,0,8,90,9,2,31,0,1,31,9,7,0,27,28,0,0,1,16,23,15,5,4,17,4,dnb,41,3,3,28,13,44,20,29,3,1,2,17,0,3,14,12,5,34,34,7,15,11,17,36,4,5,33,1,68,43,26,51,8,0,57,9,19,15,49,21,8,24,7,107,10,dnb,7,6,9,0,0,22,46,6,10,0,66,5,20,5,18,10,28,4,23,9,0,4,0,23,53,0,29,1,7,28,0,3,2,0,dnb,0,4,0,4,35,30,1
40,0,121,dnb,42,21,32,57,3,17,0,6,9,0,0,5,31,20,1,8,0,0,17,4,42,0,0,21,0,8,0,47,18,dnb,23,0,8,18,0,5,13,36,4,3,60,0,5,2,0,11,16,3,39,34,3,5,17,2,2,0,9,4,27,1,0,0,0,0,0,46,9,1,dnb,0,22,16,14,4,3,dnb,58,1,dnb,10,9,34,5,19,1,1,50,41,0,20,64,32,16,7,13,17,11,0,11,1,35,12,dnb,4,19,26,dnb,2,21,26,dnb,28,0,12,61,11,1,7
13,6,1,dnb,32,7,9,36,0,39,0,8,2,19,0,28,13,3,1,4,22,1,10,15,6,5,1,5,29,21,2,2,22,dnb,dnb,8,7,dnb,1,0,4,19,61,dnb,21,9,29,17,8,0,3,0,6,0,0,4,2,0,2,13,1,12,10,9,9,2,18,71,0,8,18,2,dnb,18,0,10,36,1,0,dnb,20,39,dnb,1,4,0,1,4,23,45,0,24,3,26,1,35,24,3,dnb,6,23,16,0,5,15,dnb,dnb,40,38,12,dnb,7,23,26,dnb,21,0,50,64,7,28,8
0,41,40,dnb,13,1,25,6,19,0,6,28,51,4,44,23,8,dnb,2,13,1,55,29,17,2,2,dnb,0,4,3,3,6,11,dnb,dnb,dnb,12,dnb,13,0,0,93,7,dnb,7,7,0,14,10,0,0,0,2,5,39,11,7,0,29,0,7,19,6,5,26,dnb,4,13,9,0,31,22,dnb,5,3,54,13,2,12,dnb,27,1,dnb,3,7,0,13,dnb,12,2,0,5,1,9,0,1,22,1,dnb,0,38,1,5,4,0,dnb,dnb,13,3,0,dnb,5,0,16,dnb,4,6,0,0,4,2,1
7,8,18,dnb,11,34,26,11,25,2,9,17,2,dnb,dnb,5,1,dnb,0,22,10,10,4,2,dnb,11,dnb,0,dnb,10,8,20,0,dnb,dnb,dnb,6,dnb,19,16,27,22,48,dnb,34,12,0,8,11,0,0,4,0,3,0,2,1,13,1,4,65,1,0,0,0,dnb,3,32,16,5,0,5,dnb,15,0,2,2,52,6,dnb,dnb,3,dnb,1,2,1,16,dnb,0,6,10,4,2,20,2,2,50,0,dnb,39,18,0,5,8,dnb,dnb,dnb,0,12,20,dnb,3,1,dnb,dnb,2,12,3,20,0,14,0
4,89,dnb,dnb,3,11,24,0,5,dnb,5,27,0,dnb,dnb,0,7,dnb,1,5,20,5,0,4,dnb,19,dnb,6,dnb,5,11,0,0,dnb,dnb,dnb,18,dnb,0,dnb,11,1,2,dnb,0,22,1,0,0,5,2,2,0,11,27,11,8,2,19,0,8,10,1,1,1,dnb,0,2,19,8,1,dnb,dnb,0,dnb,0,1,14,dnb,dnb,dnb,6,dnb,0,dnb,6,12,dnb,2,11,7,4,35,9,3,17,2,dnb,dnb,12,10,10,12,17,dnb,dnb,dnb,dnb,dnb,5,dnb,8,dnb,dnb,dnb,10,7,9,dnb,12,0,dnb
dnb,dnb,dnb,dnb,dnb,dnb,0,dnb,0,dnb,dnb,2,5,dnb,dnb,0,12,dnb,0,1,4,11,0,1,dnb,dnb,dnb,7,dnb,0,13,0,1,dnb,dnb,dnb,1,dnb,dnb,dnb,dnb,17,26,dnb,15,dnb,1,0,0,0,2,2,dnb,7,1,7,2,0,2,4,2,dnb,dnb,0,5,dnb,4,dnb,5,0,dnb,dnb,dnb,13,dnb,3,0,5,dnb,dnb,dnb,0,dnb,dnb,dnb,6,11,dnb,dnb,3,dnb,7,9,0,2,0,dnb,dnb,dnb,1,4,dnb,0,dnb,dnb,dnb,dnb,dnb,dnb,4,dnb,0,dnb,dnb,dnb,6,0,0,dnb,0,0,dnb
